key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
ABIOGENIC_OIL_LORE_1,"Abiogenic oil theory suggests oil forms from inorganic processes deep within Earth, not from decayed organic matter.",,,,,,,,,,
ABIOGENIC_OIL_LORE_2,"If oil is generated from geological processes, then that would make it technically renewable.",,,,,,,,,,
ABIOGENIC_OIL_LORE_3,"The elite of course are aware of this fact, but hide it from the public. Afterall, artificial scarcity is a powerful tool.",,,,,,,,,,
ACCELERATIONISM_LORE_1,Accelerationism advocates accelerating capitalist or technological processes to bring about radical change or collapse.,,,,,,,,,,
ACCELERATIONISM_LORE_2,"It suggests that the current system is unsustainable and must be disrupted to create a new, more equitable order.",,,,,,,,,,
ACCELERATIONISM_LORE_3,"Rather than languishing in the present, it would be better to speed things up, if only to see what happens",,,,,,,,,,
ACOSMISM_LORE_1,"Acosmism denies the reality of the physical world, seeing it as an illusion or less real than the spiritual or divine.",,,,,,,,,,
ACOSMISM_LORE_2,"If the only thing that is real is the mind, and the spirit, then the material world is merely a construct designed to shape the mind and spirit.",,,,,,,,,,
ACOSMISM_LORE_3,"But this theory has wider implications, if all is spirit, then could not the spirit have power over the illusion of matter?",,,,,,,,,,
AGARTHA_LORE_1,Agartha is a mythical kingdom said to exist inside the Earth.,,,,,,,,,,
AGARTHA_LORE_2,It's described as an advanced civilization with technology and wisdom beyond our own.,,,,,,,,,,
AGARTHA_LORE_3,"Some explorers claim to have found entrances, though these are often shrouded in mystery.",,,,,,,,,,
AKASHIC_RECORDS_LORE_1,"The Akashic Records are a concept in some esoteric traditions, believed to contain the entire history of the universe.",,,,,,,,,,
AKASHIC_RECORDS_LORE_2,"If reality is nothing but a simulation, the records of the simulation would be need be accessable from all points in space and time.",,,,,,,,,,
AKASHIC_RECORDS_LORE_3,"Mystics say that it is possible to access this realm ourselves, but only through meditation and a deep connection to the universe.",,,,,,,,,,
ALL_CONSPIRACIES_ARE_TRUE_LORE_1,This theory suggests that every conspiracy—from aliens to secret societies—is simultaneously real and interconnected.,,,,,,,,,,
ALL_CONSPIRACIES_ARE_TRUE_LORE_2," It paints a chaotic tapestry where every shadowy rumor reflects a piece of a grand, hidden reality.",,,,,,,,,,
ALL_CONSPIRACIES_ARE_TRUE_LORE_3,"While an overwhelming concept, it also suggests that the world is always more complex than we can imagine.",,,,,,,,,,
ALL_OF_HUMAN_HISTORY_IS_FAKE_LORE_1,"This theory suggests that all historical accounts are fabrications, part of a grand deception by unknown powers.",,,,,,,,,,
ALL_OF_HUMAN_HISTORY_IS_FAKE_LORE_2," It challenges archaeology, written history, and cultural memory, proposing we live in an orchestrated illusion.",,,,,,,,,,
ALL_OF_HUMAN_HISTORY_IS_FAKE_LORE_3,"History is a story told to us by the victors, and the victors are the ones who write the history books",,,,,,,,,,
AMAZON_RAINFORREST_WAS_BUILT_BY_AN_ANCIENT_SOCIETY_LORE_1,"The Amazon rainforest is the largest rainforest in the world, covering much of northern Brazil.",,,,,,,,,,
AMAZON_RAINFORREST_WAS_BUILT_BY_AN_ANCIENT_SOCIETY_LORE_2,"The soil of the Amazon (Terra Preta) is not naturally occuring, but was created by an ancient society.",,,,,,,,,,
AMAZON_RAINFORREST_WAS_BUILT_BY_AN_ANCIENT_SOCIETY_LORE_3,"This implies that an earlier society engineered the rainforest to exist, allow them to harvest the bounty of this ecosystem.",,,,,,,,,,
ANATTA_LORE_1,"Anatta or no-self in Buddhism denies the existence of a permanent, unchanging soul or self.",,,,,,,,,,
ANATTA_LORE_2,"Instead, it suggests that the self is an illusion created by the mind.",,,,,,,,,,
ANATTA_LORE_3,"If our self of self is an illusion, then controlling that illusion could grant the highest form of self-control.",,,,,,,,,,
ANCIENT_EGYPT_WAS_ADVANCED_AND_THE_SPHINX_WAS_ERODED_BY_WATER_INA_GREAT_FLOOD_LORE_1,The stones used in the construction of the architecture of khemet were so precise that they must have been created by advanced means.,,,,,,,,,,
ANCIENT_EGYPT_WAS_ADVANCED_AND_THE_SPHINX_WAS_ERODED_BY_WATER_INA_GREAT_FLOOD_LORE_2,"The stone composing thing sphinx shows erosion, suggesting a deluge.",,,,,,,,,,
ANCIENT_EGYPT_WAS_ADVANCED_AND_THE_SPHINX_WAS_ERODED_BY_WATER_INA_GREAT_FLOOD_LORE_3,"The region known today as egypt was not always a desert, but was once a fertile land. What sudden catastrophe provoked this change?",,,,,,,,,,
ANIMISM_LORE_1,Animism is the belief that all elements of the natural world possess a spiritual essence or soul.,,,,,,,,,,
ANIMISM_LORE_2,"Certain japanese folklore suggests that an object, if properly taken care of, can be a vessel for a spirit.",,,,,,,,,,
ANIMISM_LORE_3,"If even the inorganic is alive, then how might we be able to communicate with it?",,,,,,,,,,
ANNUNAKI_CREATED_HUMANS_TO_MINE_GOLD_LORE_1,"This theory, based on Sumerian mythology, suggests the Annunaki, an alien race, genetically engineered humans for labor.",,,,,,,,,,
ANNUNAKI_CREATED_HUMANS_TO_MINE_GOLD_LORE_2,"It's claimed they needed gold to repair their atmosphere, but did not want to mine it themselves.",,,,,,,,,,
ANNUNAKI_CREATED_HUMANS_TO_MINE_GOLD_LORE_3,"The myth states that the creators of the humans gave more of their own genetic code than they should have, granting humans divine potential.",,,,,,,,,,
ANTARCTICA_LORE_1,"Antarctica might hide ancient civilizations, alien bases, or Nazi hideouts, according to some theories.",,,,,,,,,,
ANTARCTICA_LORE_2," The nations of the world, which typically bicker and fight, have a unified front when it comes to Antarctica.",,,,,,,,,,
ANTARCTICA_LORE_3,"What are they hiding?, why can't we go there?",,,,,,,,,,
ARCHONS_LORE_1,"Archons, in Gnostic teachings, are described as powers that keep souls trapped in the material world.",,,,,,,,,,
ARCHONS_LORE_2,"Archons act in service of the Demiurge, the creator god of the material world.",,,,,,,,,,
ARCHONS_LORE_3,"The Demiurge is the god of the material world, and the archons are his servants.",,,,,,,,,,
ASTRAL_PROJECTION_LORE_1,Astral projection is the act of projecting one's astral body into the astral plane.,,,,,,,,,,
ASTRAL_PROJECTION_LORE_2,The CIA has been experimenting with astral projection for decades via the MK Ultra program.,,,,,,,,,,
ASTRAL_PROJECTION_LORE_3,CIA agents have reported hostile entities when astrally projecting.,,,,,,,,,,
ATLANTIS_LORE_1,Atlantis is said to be an advanced civilization that sank into the ocean thousands of years ago.,,,,,,,,,,
ATLANTIS_LORE_2,Legends claim it was home to incredible technology and wisdom before its mysterious disappearance.,,,,,,,,,,
ATLANTIS_LORE_3,Some explorers and theorists believe remnants of Atlantis could still be found in the depths of the sea.,,,,,,,,,,
AURA_LORE_1,"An aura is believed to be an energy field surrounding living beings, visible to some.",,,,,,,,,,
